,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nombre d'IVG selon le département ou la région de résidence de la femme, le lieu de réalisation de l'IVG et la méthode",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,non compris les ré-interventions dans un délai de 9 semaines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2022,,,,,,,2021,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,IVG en établissements hospitaliers,,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,IVG en établissements hospitaliers,,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,,IVG en établissements hospitaliers,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,,,,,,,,,,,,,,,,,,,,,
,,Zone géographique,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral 1,centres 2,,,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral*,centres**,,,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral*,centres**,,,,,,,,,,,,,,,,,,,,,,,
,,Loiret,415,1 119,11,564,180,2 289,"16,1",418,984,5,508,126,2 041,"14,3",504,1 046,8,375,98,2 031,"14,2",,,,,,,,,,,,,,,,,,,,,
,,Lot,87,306,3,78,3,477,"16,8",96,298,2,71,1,468,"16,4",100,284,2,64,2,452,"15,7",,,,,,,,,,,,,,,,,,,,,
,,Lot-et-Garonne,163,358,8,562,2,1 093,"18,2",149,415,4,382,4,954,"15,8",198,417,5,385,1,1 006,"16,6",,,,,,,,,,,,,,,,,,,,,
,,Lozère,29,102,1,46,0,178,"13,1",30,110,3,40,0,183,"13,3",24,153,0,32,1,210,"15,2",,,,,,,,,,,,,,,,,,,,,
,,Maine-et-Loire,734,987,9,140,10,1 880,"10,7",735,908,20,101,6,1 770,"10,1",667,1 023,3,62,3,1 758,"10,0",,,,,,,,,,,,,,,,,,,,,
,,Manche,164,587,4,240,3,998,"11,2",169,518,0,192,7,886,"9,8",184,577,4,184,6,955,"10,5",,,,,,,,,,,,,,,,,,,,,
,,Marne,326,683,8,727,4,1 748,"14,4",352,678,2,521,5,1 558,"12,7",415,726,4,411,6,1 562,"12,7",,,,,,,,,,,,,,,,,,,,,
,,Haute-Marne,56,292,14,47,2,411,"13,6",60,309,16,34,3,422,"13,8",40,309,15,31,1,396,"12,7",,,,,,,,,,,,,,,,,,,,,
,,Mayenne,168,357,4,48,4,581,"9,9",141,340,3,35,2,521,"8,9",149,338,2,17,1,507,"8,6",,,,,,,,,,,,,,,,,,,,,
,,Meurthe-et-Moselle,401,1 547,24,139,36,2 147,"13,3",368,1 372,7,136,53,1 936,"12,0",444,1 349,8,124,48,1 973,"12,2",,,,,,,,,,,,,,,,,,,,,
,,Meuse,58,253,4,71,0,386,"11,7",43,247,2,57,0,349,"10,4",47,248,3,26,1,325,"9,5",,,,,,,,,,,,,,,,,,,,,
,,Morbihan,638,905,14,366,12,1 935,"13,6",625,847,10,287,10,1 779,"12,5",617,832,17,233,5,1 704,"12,0",,,,,,,,,,,,,,,,,,,,,
,,Moselle,717,1 484,16,467,49,2 733,"12,6",688,1 486,35,365,27,2 601,"12,0",741,1 525,60,306,8,2 640,"12,1",,,,,,,,,,,,,,,,,,,,,
,,Nièvre,80,156,3,95,57,391,"11,8",70,179,2,94,65,410,"12,2",81,201,0,72,9,363,"10,7",,,,,,,,,,,,,,,,,,,,,
,,Nord,1 866,4 163,48,2 439,89,8 605,"14,5",1 881,4 077,47,1 902,30,7 937,"13,4",2 081,4 114,49,1 694,33,7 971,"13,4",,,,,,,,,,,,,,,,,,,,,
,,Oise,359,1 181,7,1 091,23,2 661,"14,8",348,1 194,10,824,14,2 390,"13,3",345,1 458,14,593,14,2 424,"13,5",,,,,,,,,,,,,,,,,,,,,
,,Orne,98,449,3,26,2,578,"11,9",86,394,3,19,1,503,"10,2",92,428,7,24,0,551,"11,0",,,,,,,,,,,,,,,,,,,,,
,,Pas-de-Calais,888,1 968,15,705,591,4 167,"13,7",794,1 950,14,505,602,3 865,"12,6",969,2 012,16,389,440,3 826,"12,4",,,,,,,,,,,,,,,,,,,,,
,,Puy-de-Dôme,467,700,11,724,35,1 937,"13,8",433,677,7,628,10,1 755,"12,5",519,644,17,471,15,1 666,"11,9",,,,,,,,,,,,,,,,,,,,,
,,Pyrénées-Atlantiques,512,497,5,683,277,1 974,"14,6",453,403,3,626,269,1 754,"12,9",477,456,6,581,220,1 740,"12,8",,,,,,,,,,,,,,,,,,,,,
,,Hautes-Pyrénées,107,255,9,110,117,598,"14,4",104,232,24,71,113,544,"13,1",120,315,12,73,41,561,"13,4",,,,,,,,,,,,,,,,,,,,,
,,Pyrénées-Orientales,406,1 111,0,482,10,2 009,"21,7",339,1 126,1,365,7,1 838,"19,9",344,1 085,4,313,5,1 751,"19,0",,,,,,,,,,,,,,,,,,,,,
,,Bas-Rhin,367,2 249,15,251,4,2 886,"11,2",362,2 094,4,213,3,2 676,"10,4",373,2 141,4,198,2,2 718,"10,6",,,,,,,,,,,,,,,,,,,,,
,,Haut-Rhin,233,1 520,9,134,2,1 898,"12,1",243,1 409,9,114,3,1 778,"11,3",273,1 442,8,86,0,1 809,"11,4",,,,,,,,,,,,,,,,,,,,,
,,Rhône,1 974,1 827,41,2 651,318,6 811,"14,8",1 919,1 873,32,1 988,396,6 208,"13,6",2 017,2 095,35,1 883,368,6 398,"14,1",,,,,,,,,,,,,,,,,,,,,
,,Haute-Saône,90,176,5,339,4,614,"14,1",74,195,4,302,2,577,"13,1",75,184,6,290,0,555,"12,5",,,,,,,,,,,,,,,,,,,,,
,,Saône-et-Loire,306,683,15,175,12,1 191,"12,2",302,674,16,148,6,1 146,"11,6",348,704,2,108,2,1 164,"11,7",,,,,,,,,,,,,,,,,,,,,
,,Sarthe,531,792,8,45,5,1 381,"12,3",457,787,12,38,3,1 297,"11,5",466,812,13,27,3,1 321,"11,7",,,,,,,,,,,,,,,,,,,,,
,,Savoie,292,336,15,624,23,1 290,"14,3",254,396,1,581,15,1 247,"13,8",270,428,15,496,9,1 218,"13,5",,,,,,,,,,,,,,,,,,,,,
,,Haute-Savoie,590,1 266,48,1 024,11,2 939,"15,6",529,1 244,38,795,7,2 613,"14,0",538,1 248,44,819,7,2 656,"14,3",,,,,,,,,,,,,,,,,,,,,
,,Paris,2 131,1 890,58,3 962,1 108,9 149,"16,1",1 923,2 028,95,3 661,1 020,8 727,"15,2",2 221,2 224,74,3 408,948,8 875,"15,4",,,,,,,,,,,,,,,,,,,,,
,,Seine-Maritime,664,1 485,23,1 396,151,3 719,"14,0",653,1 513,28,1 099,105,3 398,"12,7",769,1 511,38,1 032,76,3 426,"12,8",,,,,,,,,,,,,,,,,,,,,
,,Seine-et-Marne,916,1 921,30,3 539,190,6 596,"19,8",883,1 962,14,3 232,143,6 234,"18,8",1 024,2 004,13,2 997,104,6 142,"18,5",,,,,,,,,,,,,,,,,,,,,
,,Yvelines,761,1 527,35,1 828,403,4 554,"14,0",738,1 859,36,1 492,346,4 471,"13,8",792,1 962,32,1 350,196,4 332,"13,4",,,,,,,,,,,,,,,,,,,,,
,,Deux-Sèvres,231,487,5,132,1,856,"12,2",213,445,3,101,1,763,"10,8",169,507,1,92,4,773,"10,9",,,,,,,,,,,,,,,,,,,,,
,,Somme,434,1 114,11,166,9,1 734,"14,3",382,937,2,147,4,1 472,"12,0",406,921,10,143,2,1 482,"12,0",,,,,,,,,,,,,,,,,,,,,
,,Tarn,241,686,8,237,7,1 179,"16,2",218,675,14,201,2,1 110,"15,2",266,636,5,141,4,1 052,"14,3",,,,,,,,,,,,,,,,,,,,,
,,Tarn-et-Garonne,149,355,5,390,1,900,"17,4",145,376,5,295,4,825,"16,0",161,405,2,208,4,780,"15,1",,,,,,,,,,,,,,,,,,,,,
,,Var,734,1 728,36,2 241,77,4 816,"23,5",668,1 631,20,2 018,153,4 490,"21,9",798,1 834,32,1 555,77,4 296,"21,0",,,,,,,,,,,,,,,,,,,,,
,,Vaucluse,275,1 343,28,659,7,2 312,"20,8",258,1 277,20,571,8,2 134,"19,1",338,1 232,37,588,7,2 202,"19,6",,,,,,,,,,,,,,,,,,,,,
,,Vendée,359,829,7,210,7,1 412,"10,9",380,741,9,178,3,1 311,"10,1",370,761,5,151,3,1 290,"10,0",,,,,,,,,,,,,,,,,,,,,
,,Vienne,167,672,8,308,3,1 158,"12,4",155,534,5,309,4,1 007,"10,8",172,499,8,328,1,1 008,"10,8",,,,,,,,,,,,,,,,,,,,,
,,Haute-Vienne,359,700,1,35,2,1 097,"14,8",302,709,3,38,5,1 057,"14,2",270,668,2,17,2,959,"12,8",,,,,,,,,,,,,,,,,,,,,
,,Vosges,94,601,8,232,22,957,"14,6",114,573,6,108,21,822,"12,4",130,589,5,95,16,835,"12,4",,,,,,,,,,,,,,,,,,,,,
,,Yonne,205,547,16,199,7,974,"16,1",313,325,13,224,5,880,"14,4",349,250,11,263,4,877,"14,1",,,,,,,,,,,,,,,,,,,,,
,,Territoire de Belfort,70,276,1,59,15,421,"15,3",65,275,0,52,14,406,"14,5",70,265,2,59,0,396,"14,0",,,,,,,,,,,,,,,,,,,,,
,,Essonne,1 351,2 071,45,1 738,645,5 850,"19,6",1 278,1 937,31,1 584,633,5 463,"18,3",1 444,1 826,35,1 565,563,5 433,"18,2",,,,,,,,,,,,,,,,,,,,,
,,Hauts-de-Seine,1 676,1 518,60,2 341,431,6 026,"14,9",1 567,1 675,52,1 906,327,5 527,"13,7",1 631,2 086,51,1 757,247,5 772,"14,4",,,,,,,,,,,,,,,,,,,,,
,,Seine-Saint-Denis,2 432,3 269,71,2 724,699,9 195,"22,4",2 225,3 384,50,2 417,1 015,9 091,"22,3",2 315,3 614,51,2 078,532,8 590,"21,2",,,,,,,,,,,,,,,,,,,,,
,,Val-de-Marne,1 583,1 624,47,2 810,571,6 635,"19,4",1 615,1 534,39,2 672,402,6 262,"18,4",1 798,1 569,42,2 282,409,6 100,"17,9",,,,,,,,,,,,,,,,,,,,,
,,Val-d'Oise,1 115,2 586,35,1 979,189,5 904,"19,9",1 116,2 655,21,1 600,172,5 564,"18,8",1 223,2 778,22,1 453,139,5 615,"19,1",,,,,,,,,,,,,,,,,,,,,
,,Total métropole,47 407,88 392,1 864,71 672,9 104,218 439,"15,7",45 305,87 086,1 697,60 323,8 473,202 884,"14,6",49 420,90 465,1 721,54 217,6 697,202 520,"14,5",,,,,,,,,,,,,,,,,,,,,
,,Guadeloupe,351,892,10,1 892,62,3 207,"40,6",324,882,28,2 113,55,3 402,"42,0",378,989,22,1 728,59,3 176,"38,4",,,,,,,,,,,,,,,,,,,,,
,,Martinique,466,802,0,912,9,2 189,"31,3",500,780,1,809,7,2 097,"29,1",492,823,2,644,2,1 963,"26,5",,,,,,,,,,,,,,,,,,,,,
,,Guyane,354,599,8,2 575,181,3 717,"48,7",325,752,13,1 912,147,3 149,"42,0",397,822,8,1 743,133,3 103,"42,2",,,,,,,,,,,,,,,,,,,,,
,,La Réunion,556,1 436,40,2 757,8,4 797,"23,6",534,1 466,52,2 397,9,4 458,"21,8",512,1 775,25,2 035,3,4 350,"21,2",,,,,,,,,,,,,,,,,,,,,
,,Mayotte,246,996,2,358,6,1 608,"21,0",198,950,2,351,3,1 504,"20,3",267,927,0,317,1,1 512,"21,1",,,,,,,,,,,,,,,,,,,,,
,,total DROM,1 973,4 725,60,8 494,266,15 518,"30,7",1 881,4 830,96,7 582,221,14 610,"28,9",2 046,5 336,57,6 467,198,14 104,"27,8",,,,,,,,,,,,,,,,,,,,,
,,France entière résidentes,49 380,93 117,1 924,80 166,9 370,233 957,"16,2",47 186,91 916,1 793,67 905,8 694,217 494,"15,1",51 466,95 801,1 778,60 684,6 895,216 624,"15,0",,,,,,,,,,,,,,,,,,,,,
,,Résidence inconnue****,69,133,5,87,2,296,,40,94,5,,,139,,37,127,3,3,0,170,,,,,,,,,,,,,,,,,,,,,,
,,résidence à l'étranger,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
